,name,subject_id,genotype,sex,virus,titer,volume,age_days,days_to_perfusion,qc_tissue,ng_link,channel,qc_channel,ng_channel,ccf_ap,ccf_ml,ccf_dv,inj_structure,inj_parent
5,SmartSPIM_679519_2023-08-15_11-43-09_stitched_2023-08-22_22-13-20,679519,Ai224(TICL-NLS-EGFP-ICF-NLS-dT)-hyg/wt,Male,AAVrg-Syn-Flpo,1.02e+14,100.0,53,31,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app/#!%7B%22dimensions%22:%7B%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%2C%22t%22:%5B0.001%2C%22s%22%5D%7D%2C%22position%22:%5B2063.7197265625%2C4597.2529296875%2C4016.482177734375%2C0.5%5D%2C%22crossSectionOrientation%22:%5B-1.4944148141182723e-9%2C0.6708824634552002%2C1.5313164070107632e-9%2C0.7415636777877808%5D%2C%22crossSectionScale%22:1.6487212707001286%2C%22projectionScale%22:16384%2C%22layers%22:%5B%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_679519_2023-08-15_11-43-09_stitched_2023-08-22_22-13-20/image_tile_fusing/OMEZarr/Ex_488_Em_525.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#58fea1%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B100%2C600%5D%7D%7D%2C%22name%22:%22Ex_488_Em_525%22%2C%22visible%22:false%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_679519_2023-08-15_11-43-09_stitched_2023-08-22_22-13-20/image_tile_fusing/OMEZarr/Ex_561_Em_593.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f15211%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B200%2C500%5D%7D%7D%2C%22name%22:%22Ex_561_Em_593%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_679519_2023-08-15_11-43-09_stitched_2023-08-22_22-13-20/image_tile_fusing/OMEZarr/Ex_639_Em_660.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f00050%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#ffffff%22%2C%22normalized%22:%7B%22range%22:%5B0%2C600%5D%7D%7D%2C%22name%22:%22Ex_639_Em_660%22%7D%5D%2C%22selectedLayer%22:%7B%22visible%22:true%2C%22layer%22:%22Ex_639_Em_660%22%7D%2C%22layout%22:%224panel%22%7D,561,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app#!s3://aind-open-data/SmartSPIM_679519_2023-08-15_11-43-09_stitched_2023-08-22_22-13-20/image_cell_segmentation/Ex_561_Em_593/visualization/neuroglancer_config.json,115,275,114,FRP6a,FRP
6,SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57,689237,wt/wt,Female,AAVrg-Syn-H2B-Turquoise,2.96e+14,50.0,52,21,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app/#!%7B%22dimensions%22:%7B%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%2C%22t%22:%5B0.001%2C%22s%22%5D%7D%2C%22position%22:%5B2118.794921875%2C4028.046630859375%2C4035.513427734375%2C0.5%5D%2C%22crossSectionOrientation%22:%5B0.5%2C0.5%2C0.5%2C-0.5%5D%2C%22crossSectionScale%22:2.718281828459046%2C%22projectionScale%22:16384%2C%22layers%22:%5B%7B%22type%22:%22image%22%2C%22source%22:%7B%22url%22:%22zarr://s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_tile_fusing/OMEZarr/Ex_445_Em_469.zarr%22%2C%22transform%22:%7B%22matrix%22:%5B%5B1%2C0%2C0%2C0%2C0%2C0%5D%2C%5B0%2C1%2C0%2C0%2C0%2C0%5D%2C%5B0%2C0%2C1%2C0%2C0%2C10%5D%2C%5B0%2C0%2C0%2C1%2C0%2C-5%5D%2C%5B0%2C0%2C0%2C0%2C1%2C0%5D%5D%2C%22outputDimensions%22:%7B%22t%22:%5B0.001%2C%22s%22%5D%2C%22c%27%22:%5B1%2C%22%22%5D%2C%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%7D%7D%7D%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22source%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#3f2efe%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#2faffe%22%2C%22normalized%22:%7B%22range%22:%5B171%2C433%5D%2C%22window%22:%5B0%2C900%5D%7D%7D%2C%22name%22:%22Ex_445_Em_469%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_tile_fusing/OMEZarr/Ex_561_Em_593.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f15211%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B266%2C559%5D%2C%22window%22:%5B0%2C900%5D%7D%7D%2C%22name%22:%22Ex_561_Em_593%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_tile_fusing/OMEZarr/Ex_639_Em_660.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f00050%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#ffffff%22%2C%22normalized%22:%7B%22range%22:%5B0%2C600%5D%7D%7D%2C%22name%22:%22Ex_639_Em_660%22%7D%5D%2C%22selectedLayer%22:%7B%22size%22:231%2C%22visible%22:true%2C%22layer%22:%22Ex_445_Em_469%22%7D%2C%22layout%22:%224panel%22%7D,445,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app#!s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_cell_segmentation/Ex_445_Em_469/visualization/neuroglancer_config.json,139,244,96,ACAd5,ACAd
7,SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57,689237,wt/wt,Female,AAVrg-Syn-H2B-tdTomato,5.10e+13,50.0,52,21,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app/#!%7B%22dimensions%22:%7B%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%2C%22t%22:%5B0.001%2C%22s%22%5D%7D%2C%22position%22:%5B2118.794921875%2C4028.046630859375%2C4035.513427734375%2C0.5%5D%2C%22crossSectionOrientation%22:%5B0.5%2C0.5%2C0.5%2C-0.5%5D%2C%22crossSectionScale%22:2.718281828459046%2C%22projectionScale%22:16384%2C%22layers%22:%5B%7B%22type%22:%22image%22%2C%22source%22:%7B%22url%22:%22zarr://s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_tile_fusing/OMEZarr/Ex_445_Em_469.zarr%22%2C%22transform%22:%7B%22matrix%22:%5B%5B1%2C0%2C0%2C0%2C0%2C0%5D%2C%5B0%2C1%2C0%2C0%2C0%2C0%5D%2C%5B0%2C0%2C1%2C0%2C0%2C10%5D%2C%5B0%2C0%2C0%2C1%2C0%2C-5%5D%2C%5B0%2C0%2C0%2C0%2C1%2C0%5D%5D%2C%22outputDimensions%22:%7B%22t%22:%5B0.001%2C%22s%22%5D%2C%22c%27%22:%5B1%2C%22%22%5D%2C%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%7D%7D%7D%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22source%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#3f2efe%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#2faffe%22%2C%22normalized%22:%7B%22range%22:%5B171%2C433%5D%2C%22window%22:%5B0%2C900%5D%7D%7D%2C%22name%22:%22Ex_445_Em_469%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_tile_fusing/OMEZarr/Ex_561_Em_593.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f15211%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B266%2C559%5D%2C%22window%22:%5B0%2C900%5D%7D%7D%2C%22name%22:%22Ex_561_Em_593%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_tile_fusing/OMEZarr/Ex_639_Em_660.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f00050%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#ffffff%22%2C%22normalized%22:%7B%22range%22:%5B0%2C600%5D%7D%7D%2C%22name%22:%22Ex_639_Em_660%22%7D%5D%2C%22selectedLayer%22:%7B%22size%22:231%2C%22visible%22:true%2C%22layer%22:%22Ex_445_Em_469%22%7D%2C%22layout%22:%224panel%22%7D,561,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app#!s3://aind-open-data/SmartSPIM_689237_2023-08-30_19-04-37_stitched_2023-09-12_08-06-57/image_cell_segmentation/Ex_561_Em_593/visualization/neuroglancer_config.json,140,295,86,MOs5,MOs
8,SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44,689238,wt/wt,Female,AAVrg-Syn-H2B-Turquoise,2.96e+14,50.0,52,28,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app/#!%7B%22dimensions%22:%7B%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%2C%22t%22:%5B0.001%2C%22s%22%5D%7D%2C%22position%22:%5B1947.521484375%2C4478.1923828125%2C3707.119384765625%2C0.5%5D%2C%22crossSectionOrientation%22:%5B0.45008328557014465%2C0.49750208854675293%2C-0.49750208854675293%2C0.549916684627533%5D%2C%22crossSectionScale%22:2.718281828459048%2C%22projectionScale%22:16384%2C%22layers%22:%5B%7B%22type%22:%22image%22%2C%22source%22:%7B%22url%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_445_Em_469.zarr%22%2C%22transform%22:%7B%22matrix%22:%5B%5B1%2C0%2C0%2C0%2C0%2C0%5D%2C%5B0%2C1%2C0%2C0%2C0%2C0%5D%2C%5B0%2C0%2C1%2C0%2C0%2C11%5D%2C%5B0%2C0%2C0%2C1%2C0%2C0%5D%2C%5B0%2C0%2C0%2C0%2C1%2C0%5D%5D%2C%22outputDimensions%22:%7B%22t%22:%5B0.001%2C%22s%22%5D%2C%22c%27%22:%5B1%2C%22%22%5D%2C%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%7D%7D%7D%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22source%22%2C%22opacity%22:0.48%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#3f2efe%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#2f93fe%22%2C%22normalized%22:%7B%22range%22:%5B50%2C350%5D%2C%22window%22:%5B0%2C400%5D%7D%7D%2C%22name%22:%22Ex_445_Em_469%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_488_Em_525.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22opacity%22:0.51%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#58fea1%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B300%2C700%5D%7D%7D%2C%22name%22:%22Ex_488_Em_525%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_561_Em_593.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22opacity%22:1%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f15211%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B100%2C1600%5D%7D%7D%2C%22name%22:%22Ex_561_Em_593%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_639_Em_660.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22opacity%22:1%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f00050%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#ffffff%22%2C%22normalized%22:%7B%22range%22:%5B0%2C600%5D%7D%7D%2C%22name%22:%22Ex_639_Em_660%22%7D%5D%2C%22selectedLayer%22:%7B%22size%22:355%2C%22visible%22:true%2C%22layer%22:%22Ex_488_Em_525%22%7D%2C%22layout%22:%22xy%22%7D,445,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app#!s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_cell_segmentation/Ex_445_Em_469/visualization/neuroglancer_config.json,126,259,92,MOs5,MOs
9,SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44,689238,wt/wt,Female,AAVrg-Syn-H2B-tdTomato,5.10e+13,50.0,52,28,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app/#!%7B%22dimensions%22:%7B%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%2C%22t%22:%5B0.001%2C%22s%22%5D%7D%2C%22position%22:%5B1947.521484375%2C4478.1923828125%2C3707.119384765625%2C0.5%5D%2C%22crossSectionOrientation%22:%5B0.45008328557014465%2C0.49750208854675293%2C-0.49750208854675293%2C0.549916684627533%5D%2C%22crossSectionScale%22:2.718281828459048%2C%22projectionScale%22:16384%2C%22layers%22:%5B%7B%22type%22:%22image%22%2C%22source%22:%7B%22url%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_445_Em_469.zarr%22%2C%22transform%22:%7B%22matrix%22:%5B%5B1%2C0%2C0%2C0%2C0%2C0%5D%2C%5B0%2C1%2C0%2C0%2C0%2C0%5D%2C%5B0%2C0%2C1%2C0%2C0%2C11%5D%2C%5B0%2C0%2C0%2C1%2C0%2C0%5D%2C%5B0%2C0%2C0%2C0%2C1%2C0%5D%5D%2C%22outputDimensions%22:%7B%22t%22:%5B0.001%2C%22s%22%5D%2C%22c%27%22:%5B1%2C%22%22%5D%2C%22z%22:%5B0.000002%2C%22m%22%5D%2C%22y%22:%5B0.0000018%2C%22m%22%5D%2C%22x%22:%5B0.0000018%2C%22m%22%5D%7D%7D%7D%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22source%22%2C%22opacity%22:0.48%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#3f2efe%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#2f93fe%22%2C%22normalized%22:%7B%22range%22:%5B50%2C350%5D%2C%22window%22:%5B0%2C400%5D%7D%7D%2C%22name%22:%22Ex_445_Em_469%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_488_Em_525.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22opacity%22:0.51%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#58fea1%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B300%2C700%5D%7D%7D%2C%22name%22:%22Ex_488_Em_525%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_561_Em_593.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22opacity%22:1%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f15211%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22normalized%22:%7B%22range%22:%5B100%2C1600%5D%7D%7D%2C%22name%22:%22Ex_561_Em_593%22%7D%2C%7B%22type%22:%22image%22%2C%22source%22:%22zarr://s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_tile_fusing/OMEZarr/Ex_639_Em_660.zarr%22%2C%22localDimensions%22:%7B%22c%27%22:%5B1%2C%22%22%5D%7D%2C%22localPosition%22:%5B0.5%5D%2C%22tab%22:%22rendering%22%2C%22opacity%22:1%2C%22blend%22:%22additive%22%2C%22shader%22:%22#uicontrol%20vec3%20color%20color%28default=%5C%22#f00050%5C%22%29%5Cn#uicontrol%20invlerp%20normalized%5Cnvoid%20main%28%29%20%7B%5CnemitRGB%28color%20%2A%20normalized%28%29%29%3B%5Cn%7D%22%2C%22shaderControls%22:%7B%22color%22:%22#ffffff%22%2C%22normalized%22:%7B%22range%22:%5B0%2C600%5D%7D%7D%2C%22name%22:%22Ex_639_Em_660%22%7D%5D%2C%22selectedLayer%22:%7B%22size%22:355%2C%22visible%22:true%2C%22layer%22:%22Ex_488_Em_525%22%7D%2C%22layout%22:%22xy%22%7D,561,Pass,https://aind-neuroglancer-sauujisjxq-uw.a.run.app#!s3://aind-open-data/SmartSPIM_689238_2023-08-31_01-56-52_stitched_2023-09-12_07-47-44/image_cell_segmentation/Ex_561_Em_593/visualization/neuroglancer_config.json,122,237,138,ILA5,ILA
